time;station DB name;pollutant;unit;value
20220330120000;Brod;PM25;ug/m3;64.56
20220330120000;Brod;TempContatiner;C;4.55
20220330120000;Brod;Temp;degC;15.97
20220330120000;Brod;RelVl;%;42.45
20220330120000;Brod;AtPr;mbar;990.96
20220330120000;Brod;DMS;ug/m3;0.00
20220330120000;Brod;CDS;ug/m3;0.00
20220330120000;Brod;ETME;ug/m3;0.00
20220330120000;Brod;MPXyl;ug/m3;0.00
20220330120000;Brod;DES;ug/m3;0.00
20220330120000;Brod;DMDS;ug/m3;0.00
20220330120000;Brod;OXyl;ug/m3;0.00
20220330120000;Brod;DEDS;ug/m3;0.00
20220330120000;Brod;EtBe;ug/m3;0.00
20220330120000;Brod;Benz;ug/m3;0.11
20220330120000;Brod;Tolu;ug/m3;0.49
20220330120000;Brod;NH3;ug/m3;0.00
20220330120000;Brod;PM10;ug/m3;72.93
20220330120000;Brod;SmVj;degrees;0.05
20220330120000;Brod;BrVj;m/s;0.83
20220330120000;Brod;CO2;mg/m3;0.00
20220330120000;Brod;N2O;mg/m3;0.00
20220330120000;Brod;CH4;mg/m3;0.00
20220330120000;Brod;NMHC;ppmC;0.00
20220330120000;Brod;THC;ppmC;0.00
20220330120000;Brod;CO;mg/m3;0.54
20220330120000;Brod;NO;ug/m3;5.56
20220330120000;Brod;NO2;ug/m3;26.59
20220330120000;Brod;NOx;ppb;18.35
20220330120000;Brod;O3;ug/m3;49.09
20220330120000;Brod;SO2;ug/m3;20.48
20220330120000;Brod;H2S;ug/m3;6.93
20220330120000;Gacko;Temp;°C;10.08
20220330120000;Gacko;ReVl;%;54.27
20220330120000;Gacko;AtPr;mbar;901.16
20220330120000;Gacko;GlSu;W/m2;165.95
20220330120000;Gacko;PM10;ug/m3;31.34
20220330120000;Gacko;SmVj;degrees;148.94
20220330120000;Gacko;BrVj;m/s;2.03
20220330120000;Gacko;NO;ug/m3;-1.15
20220330120000;Gacko;NO2;ug/m3;2.14
20220330120000;Gacko;NOx;ug/m3;0.34
20220330120000;Gacko;SO2;ug/m3;14.75
20220330120000;Ugljevik;Cont;;0.00
20220330120000;Ugljevik;Temp;°C;16.74
20220330120000;Ugljevik;ReVl;%;43.33
20220330120000;Ugljevik;AtPr;mbar;987.00
20220330120000;Ugljevik;SunZrac;W/m2;238.59
20220330120000;Ugljevik;PM10;ug/m3;111.72
20220330120000;Ugljevik;SmVj;degrees;190.63
20220330120000;Ugljevik;BrVj;m/s;3.30
20220330120000;Ugljevik;NO;ug/m3;2.77
20220330120000;Ugljevik;NO2;ug/m3;1.62
20220330120000;Ugljevik;NOx;ug/m3;5.07
20220330120000;Ugljevik;SO2;ug/m3;0.00
