time;station DB name;pollutant;unit;value
20221111120000;Brod;PM10;ug/m3;35.61
20221111120000;Brod;SO2;ug/m3;15.03
20221111120000;Brod;H2S;ug/m3;4.52
20221111120000;Brod;PM25;ug/m3;31.33
20221111120000;Brod;TempContatiner;C;7.32
20221111120000;Brod;Benz;ug/m3;0.48
20221111120000;Brod;CDS;ug/m3;0.00
20221111120000;Brod;DEDS;ug/m3;0.00
20221111120000;Brod;DES;ug/m3;0.00
20221111120000;Brod;DMDS;ug/m3;0.00
20221111120000;Brod;DMS;ug/m3;0.00
20221111120000;Brod;ETME;ug/m3;0.00
20221111120000;Brod;EtBe;ug/m3;0.00
20221111120000;Brod;MPXyl;ug/m3;0.00
20221111120000;Brod;NH3;ug/m3;2.02
20221111120000;Brod;OXyl;ug/m3;0.00
20221111120000;Brod;Tolu;ug/m3;0.78
20221111120000;Brod;Temp;degC;11.89
20221111120000;Brod;RelVl;%;91.19
20221111120000;Brod;AtPr;mbar;1015.90
20221111120000;Brod;SmVj;degrees;221.60
20221111120000;Brod;BrVj;m/s;1.06
20221111120000;Brod;CO2;mg/m3;0.00
20221111120000;Brod;N2O;mg/m3;0.00
20221111120000;Brod;CH4;mg/m3;0.24
20221111120000;Brod;NMHC;ppmC;0.18
20221111120000;Brod;THC;ppmC;0.54
20221111120000;Brod;CO;mg/m3;0.42
20221111120000;Brod;NO;ug/m3;7.16
20221111120000;Brod;NO2;ug/m3;8.71
20221111120000;Brod;NOx;ppb;10.29
20221111120000;Brod;O3;ug/m3;15.10
20221111120000;Gacko;Temp;°C;12.27
20221111120000;Gacko;ReVl;%;52.45
20221111120000;Gacko;AtPr;mbar;919.61
20221111120000;Gacko;GlSu;W/m2;505.29
20221111120000;Gacko;PM10;ug/m3;7.57
20221111120000;Gacko;SmVj;degrees;195.32
20221111120000;Gacko;BrVj;m/s;2.69
20221111120000;Gacko;NO;ug/m3;-0.21
20221111120000;Gacko;NO2;ug/m3;7.23
20221111120000;Gacko;NOx;ug/m3;5.89
20221111120000;Gacko;SO2;ug/m3;5.67
20221111120000;Ugljevik;Cont;;0.00
20221111120000;Ugljevik;Temp;°C;12.79
20221111120000;Ugljevik;ReVl;%;84.29
20221111120000;Ugljevik;AtPr;mbar;1013.64
20221111120000;Ugljevik;SunZrac;W/m2;301.99
20221111120000;Ugljevik;PM10;ug/m3;10.39
20221111120000;Ugljevik;SmVj;degrees;326.90
20221111120000;Ugljevik;BrVj;m/s;2.07
20221111120000;Ugljevik;NO;ug/m3;3.97
20221111120000;Ugljevik;NO2;ug/m3;30.13
20221111120000;Ugljevik;NOx;ug/m3;30.80
20221111120000;Ugljevik;SO2;ug/m3;0.00
